ticket_id,date,customer_id,product,description,status,true_criticality,true_category
991834,2025-03-05 18:00:56,1fbf0446-c833-4213-9d44-7db62b8c9f68,Bill Payment Service,Need dark mode for the mobile app,New,Medium,Feature Request
458049,2025-02-27 23:39:56,083de2dd-0483-4955-b562-2a8f84c2a3e5,Investment Dashboard,Scheduled payment not executed on time,New,Low,Transaction Error
605332,2025-03-08 03:04:56,e295257f-7de2-4246-a5d8-eb2cf2d33cd3,Account Management System,Payment failed but money was deducted from my account,In Progress,High,Transaction Error
72143,2025-03-22 20:13:56,9752974d-cf0a-4cf5-985a-210636d5278a,Account Management System,Noticed login attempt from unknown location,New,High,Security Concern
740249,2025-03-13 01:20:56,48647253-ec28-48ca-9d54-1dfc52460350,Credit Card Portal,Two-factor authentication not sending verification code,Resolved,Low,Login Failure
573963,2025-03-25 14:47:56,16fd028a-1c8b-4af0-be89-f1b15768fda7,Web Portal,Would like to receive push notifications for large transactions. Several end soon.,New,Medium,Feature Request
147335,2025-03-19 13:44:56,8bd61e85-5203-4111-a789-928492c42227,Mobile Banking App,Charts and graphs not displaying correctly in investment dashboard,New,Medium,App Performance
22615,2025-03-12 15:24:56,7232b19c-8b41-45cc-b394-e72a8f7005d2,Loan Application System,Recent transactions not showing up in activity feed. Point movement watch career.,In Progress,High,Data Discrepancy
234988,2025-03-24 15:45:56,25f28a6e-e1f3-422d-9d07-5646b9284da1,Bill Payment Service,Getting 'Your account has been temporarily suspended' message,New,Medium,Account Access
696422,2025-03-18 17:12:56,e5fada80-255e-4db8-858f-dac294d8494f,Mobile Banking App,Incorrect interest calculation on my savings account,New,Medium,Data Discrepancy
384133,2025-03-14 03:03:56,9daf7ab5-e8b7-4823-b3fa-864a991978ba,Investment Dashboard,Two-factor authentication not sending verification code,New,Medium,Login Failure
586173,2025-02-25 00:34:56,a999cc6b-def9-440f-a0fc-0c601e737d0d,Investment Dashboard,Credit score displayed is different from what other services show. Try more responsibility myself.,New,Low,Data Discrepancy
955113,2025-02-26 12:11:56,748de68a-1b7f-497d-997e-c84af8619177,Investment Dashboard,Unable to log in to investment dashboard with correct credentials. With ago seek safe meeting.,New,Medium,Login Failure
408984,2025-03-24 14:08:56,34835278-bdc6-499a-a053-abb5f2f5fc51,Credit Card Portal,Getting 'Your account has been temporarily suspended' message. Look management determine student science specific.,New,Low,Account Access
711730,2025-03-16 13:27:56,d3971aca-b066-42d6-af95-ceb55a19a535,Account Management System,Two-factor authentication not sending verification code,New,Low,Login Failure
431685,2025-03-02 00:41:56,17dc9a6b-02a9-4476-9414-49e49fd73f3f,Bill Payment Service,Session keeps timing out too quickly while using the service,New,Low,Account Access
